2026-06-25 22:33:24,050 | INFO | AuthClient | API Request | method=POST url=https://dummyjson.com/auth/login headers={} body={"username": "emilys", "password": "***MASKED***", "expiresInMins": 30}
2026-06-25 22:33:24,540 | INFO | AuthClient | API Response | status_code=200 elapsed_ms=484.4 url=https://dummyjson.com/auth/login body={"accessToken": "***MASKED***", "refreshToken": "***MASKED***", "id": 1, "username": "emilys", "email": "emily.johnson@x.dummyjson.com", "firstName": "Emily", "lastName": "Johnson", "gender": "female", "image": "https://dummyjson.com/icon/emilys/128"}
2026-06-25 22:33:24,542 | INFO | AuthClient | API Request | method=GET url=https://dummyjson.com/auth/me headers={"Authorization": "***MASKED***"} body={}
2026-06-25 22:33:24,713 | INFO | AuthClient | API Response | status_code=200 elapsed_ms=167.54 url=https://dummyjson.com/auth/me body={"id": 1, "firstName": "Emily", "lastName": "Johnson", "maidenName": "Smith", "age": 29, "gender": "female", "email": "emily.johnson@x.dummyjson.com", "phone": "+81 965-431-3024", "username": "emilys", "password": "***MASKED***", "birthDate": "1996-5-30", "image": "https://dummyjson.com/icon/emilys/128", "bloodGroup": "O-", "height": 193.24, "weight": 63.16, "eyeColor": "Green", "hair": {"color": "Brown", "type": "Curly"}, "ip": "42.48.100.32", "address": {"address": "626 Main Street", "city": "Phoenix", "state": "Mississippi", "stateCode": "MS", "postalCode": "29112", "coordinates": {"lat": -77.16213, "lng": -92.084824}, "country": "United States"}, "macAddress": "47:fa:41:18:ec:eb", "university": "University of Wisconsin--Madison", "bank": {"cardExpire": "***MASKED***", "cardNumber": "***MASKED***", "cardType": "Diners Club International", "currency": "GBP", "iban": "***MASKED***"}, "company": {"department": "Engineering", "name": "Dooley, Kozey and Cronin", "title": "Sales Manager", "address": {"address": "263 Tenth Street", "city": "San Francisco", "state": "Wisconsin", "stateCode": "WI", "postalCode": "37657", "coordinates": {"lat": 71.814525, "lng": -161.150263}, "country": "United States"}}, "ein": "977-175", "ssn": "***MASKED***", "userAgent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36", "crypto": {"coin": "Bitcoin", "wallet": "***MASKED***", "network": "Ethereum (ERC20)"}, "role": "admin"}
2026-06-25 22:33:24,737 | INFO | AuthClient | API Request | method=POST url=https://dummyjson.com/auth/login headers={} body={"username": "emilys", "password": "***MASKED***", "expiresInMins": 30}
2026-06-25 22:33:25,202 | INFO | AuthClient | API Response | status_code=400 elapsed_ms=462.83 url=https://dummyjson.com/auth/login body={"message": "Invalid credentials"}
2026-06-25 22:33:25,222 | INFO | AuthClient | API Request | method=POST url=https://dummyjson.com/auth/login headers={} body={"username": "emilys", "password": "***MASKED***", "expiresInMins": 30}
2026-06-25 22:33:26,856 | INFO | AuthClient | API Response | status_code=200 elapsed_ms=1630.97 url=https://dummyjson.com/auth/login body={"accessToken": "***MASKED***", "refreshToken": "***MASKED***", "id": 1, "username": "emilys", "email": "emily.johnson@x.dummyjson.com", "firstName": "Emily", "lastName": "Johnson", "gender": "female", "image": "https://dummyjson.com/icon/emilys/128"}
2026-06-25 22:33:26,860 | INFO | OrderClient | API Request | method=POST url=https://dummyjson.com/carts/add headers={"Authorization": "***MASKED***"} body={"userId": 1, "products": [{"id": 1, "quantity": 5}]}
2026-06-25 22:33:27,486 | INFO | OrderClient | API Response | status_code=201 elapsed_ms=623.64 url=https://dummyjson.com/carts/add body={"id": 209, "products": [{"id": 1, "title": "Essence Mascara Lash Princess", "price": 9.99, "quantity": 5, "total": 49.95, "discountPercentage": 10.48, "discountedPrice": 45, "thumbnail": "https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp"}], "total": 49.95, "discountedTotal": 45, "userId": 1, "totalProducts": 1, "totalQuantity": 5}
2026-06-25 22:33:27,506 | INFO | AuthClient | API Request | method=POST url=https://dummyjson.com/auth/login headers={} body={"username": "emilys", "password": "***MASKED***", "expiresInMins": 30}
2026-06-25 22:33:28,086 | INFO | AuthClient | API Response | status_code=200 elapsed_ms=578.07 url=https://dummyjson.com/auth/login body={"accessToken": "***MASKED***", "refreshToken": "***MASKED***", "id": 1, "username": "emilys", "email": "emily.johnson@x.dummyjson.com", "firstName": "Emily", "lastName": "Johnson", "gender": "female", "image": "https://dummyjson.com/icon/emilys/128"}
2026-06-25 22:33:28,089 | INFO | OrderClient | API Request | method=POST url=https://dummyjson.com/carts/add headers={"Authorization": "***MASKED***"} body={"userId": 1, "products": []}
2026-06-25 22:33:28,869 | INFO | OrderClient | API Response | status_code=400 elapsed_ms=777.25 url=https://dummyjson.com/carts/add body={"message": "products can not be empty"}
2026-06-25 22:33:28,876 | WARNING | allure-report | Allure command-line tool was not found on PATH. Allure result files were generated, but the HTML report could not be built. Install it with `brew install allure` or your system package manager.
